user_id,total_actual_revenue,total_cf_revenue,true_irpu
1,141.86,285.23,-143.37
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,42.16,0.0,42.16
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,16.55,16.77,-0.22
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,32.75,0.0,32.75
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,38.78,-38.78
19,0.0,13.88,-13.88
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,71.94,38.36,33.58
26,71.98,0.0,71.98
27,16.98,0.0,16.98
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,60.55,0.0,60.55
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,66.02,-66.02
40,0.0,0.0,0.0
41,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,130.24,0.0,130.24
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,43.02,-43.02
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,12.72,0.0,12.72
58,0.0,32.81,-32.81
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,17.21,-17.21
64,0.0,48.48,-48.48
65,0.0,11.52,-11.52
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,75.11,0.0,75.11
71,0.0,0.0,0.0
72,104.28,47.56,56.72
73,0.0,0.0,0.0
74,0.0,23.91,-23.91
76,0.0,0.0,0.0
77,11.19,0.0,11.19
78,0.0,0.0,0.0
79,50.79,0.0,50.79
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,18.66,57.5,-38.84
83,34.22,17.11,17.11
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,13.84,25.0,-11.16
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,43.6,-43.6
96,0.0,0.0,0.0
97,0.0,22.57,-22.57
98,7.28,0.0,7.28
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,32.42,-32.42
107,28.3,28.3,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,24.63,0.0,24.63
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,35.67,16.07,19.6
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,123.72,0.0,123.72
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,9.95,-9.95
126,27.35,31.51,-4.16
127,19.5,0.0,19.5
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
133,0.0,0.0,0.0
134,31.27,0.0,31.27
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,202.1,-202.1
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,161.68,-161.68
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,11.19,-11.19
151,0.0,42.07,-42.07
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,41.05,-41.05
155,0.0,0.0,0.0
156,0.0,30.46,-30.46
158,0.0,0.0,0.0
159,0.0,0.0,0.0
161,12.44,0.0,12.44
162,0.0,9.1,-9.1
163,0.0,0.0,0.0
164,11.77,0.0,11.77
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,20.4,-20.4
171,0.0,0.0,0.0
172,0.0,38.26,-38.26
173,0.0,26.82,-26.82
174,0.0,33.13,-33.13
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
